Track Name,Album Name,Artist Name(s),Record Label
List Of People (To Try And Forget About),Currents B-Sides & Remixes,Tame Impala,Universal Music Australia Pty. Ltd.
Feel It Too,Tales from the Backseat,The Academic,Downtown Records
Daft Pretty Boys,Disappear Here,Bad Suns,Vagrant Records
Consideration,ANTI,Rihanna;SZA,Roc Nation / Rihanna
Sisters,The Original Motion Picture Soundtrack: Pt. 1,Saint Motel,Elektra (NEK)
Forever Dumb,Sad Boys,Surf Curse,Surf Curse
Disco,Disco,Surf Curse,Danger Collective
It's A Trip!,Content,Joywave,Cultco Music
Halo,Melophobia,Cage The Elephant,RCA Records Label
Daydreaming,Mind The Moon,Milky Chance;Tash Sultana,BMG Rights Management (US) LLC
affection,we just need some time together,BETWEEN FRIENDS,Artbeatz
Trouble,Tell Me I'm Pretty,Cage The Elephant,RCA Records Label
Limestone,Hippie Castle EP,Magic City Hippies,New World Music Group
Oblivius,Future Present Past,The Strokes,Cult Records
C U Girl,C U Girl,Steve Lacy,L-M Records
Thy Mission,Thy Mission,The Garden;Mac DeMarco,Epitaph
Hello (feat. Dragonette),Hello,Martin Solveig;Dragonette,Big Beat Records/Atlantic
Dead To Me,Isolation,Kali Uchis,EMI
Scrawny,Scrawny / Are You Bored Yet?,Wallows,Atlantic Records
Lovefool - Radio Edit,First Band On The Moon,The Cardigans,Universal Music AB
2002,Speak Your Mind (Deluxe),Anne-Marie,Atlantic Records UK
Of Age,You Are Going to Hate This,The Frights,Dangerbird Records
Chicago,Heavy Colors,flipturn,flipturn
Ice Cold Pool,Nothing Happens,Wallows,Atlantic Records
We Don't Believe What's on TV,Blurryface,Twenty One Pilots,Fueled By Ramen
Drugs,Drugs,UPSAHL,Arista Records
SUMMER,SATURATION II,BROCKHAMPTON,"QUESTION EVERYTHING, INC. / EMPIRE"
Five More Hours,Five More Hours,Deorro;Chris Brown,"Ultra Records, LLC"
Middle,Encore,DJ Snake;Bipolar Sunshine,Universal Music Group
Here Comes The Night,Encore,DJ Snake;Mr Hudson,Universal Music Group
Can I Call You Tonight?,Fuzzybrain,Dayglow,Very Nice Records
Saturday Sun,Nation of Two,Vance Joy,Atlantic Records
Wanted You,Down in Heaven,Twin Peaks,Grand Jury
I Like That,Dirty Computer,Janelle Monáe,Bad Boy Records
Ways to Go,Spreading Rumours,GROUPLOVE,Canvasback/ATL
Stolen Dance,Sadnecessary,Milky Chance,Neon
Cough Syrup,Young The Giant (Special Edition),Young the Giant,Roadrunner Records
Marlboro Nights,Marlboro Nights,Lonely God,Pizzaslime Records
The Middle,Bleed American,Jimmy Eat World,Interscope
Love Me Like You,Get Weird (Deluxe),Little Mix,Syco Music
24 / 7 / 365,Surf,Surfaces,"Surfaces, LLC / TenThousand Projects, LLC"
Roses,Collection One,SAINt JHN,Godd Complexx/HITCO
Starships,Pink Friday ... Roman Reloaded,Nicki Minaj,Nicki Minaj/Cash Money
Favorite Song,Acid Rap,Chance the Rapper;Childish Gambino,Chance the Rapper
G.O.M.D.,2014 Forest Hills Drive,J. Cole,Roc Nation/Columbia
Devils Haircut,Odelay,Beck,DGC
Magnolia,Magnolia,The Essentialists,Pulp Records
Innerbloom,Bloom,RÜFÜS DU SOL,Foreign Family Collective
Covered In Chrome,Hungry Ghost,Violent Soho,SideOneDummy Records
Eyes Blue Like The Atlantic,Eyes Blue Like The Atlantic,Sista Prod;Subvrbs,Sista_Prod
REEL IT IN,ONEPOINTFIVE,Aminé,Republic Records
Salad Days,Salad Days,Mac DeMarco,Captured Tracks
Sábado,Tuba,Breakup Shoes,Breakup Shoes
Shaky in the Knees,Rarest of Birds,Grizfolk,Nettwerk Records
Self Care,Swimming,Mac Miller,Warner Records
Get Fucked,Zest Pop,Mustard Service,686500 Records DK
High School Lover,Bigfoot,Cayucas,Secretly Canadian
Midsummer Madness,Head In The Clouds,88rising;Joji;Rich Brian,88rising Music/Warner Records
It's All In Your Head,Dark Thoughts,The Shivas,Tender Loving Empire
Strawberry Fields Forever - Remastered 2009,Magical Mystery Tour (Remastered),The Beatles,EMI Catalogue
50//50,Metro City,Vantage,The Nightclub Collection
Hell N Back,Will You Be My Yellow?,Bakar,Black Butter
Bella Ciao - HUGEL Remix,Bella Ciao (HUGEL Remix),El Profesor;HUGEL,Ultra Records
Knock Knock,Knock Knock - Single,Mac Miller,Rostrum Records
How To Fly,Caress Your Soul,Sticky Fingers,SureShaker Music
Loser,Mellow Gold,Beck,DGC
Lose It,Oh Wonder,Oh Wonder,Oh Wonder
Portland,Bowling Shoes,Bowling Shoes,Bowling Shoes
So Good At Being in Trouble,II,Unknown Mortal Orchestra,Jagjaguwar
Birds Dont Sing,French Exit,TV Girl,TV Girl
Heaven Knows I'm Miserable Now - 2011 Remaster,Hatful of Hollow,The Smiths,WM UK
Sleeping Lessons,Wincing The Night Away,The Shins,Sub Pop Records
bellyache,dont smile at me,Billie Eilish,Darkroom
COPYCAT,dont smile at me,Billie Eilish,Darkroom
So Says I,Chutes Too Narrow,The Shins,Sub Pop Records
Bang Bang You're Dead,Waterloo To Anywhere,Dirty Pretty Things,EMI
All The Time,Bahamas Is Afie,Bahamas,Brushfire Records/Universal
undefined,undefined,undefined,undefined
Puppy Dog,Puppy Dog,Dreamer Boy,slowplay/Harvest Records
tossing and turning,Wait,Arlie,Atlantic Records
Tears Dry On Their Own,Back To Black,Amy Winehouse,Universal-Island Records Ltd.
All The Time,Bahamas is Afie,Bahamas,Universal Music Canada
The Breeze,Fate,Dr. Dog,Universal Music Australia Pty. Ltd.
Darling,Milksop / Darling,Christian Leave,GODMODE
Back To Black,Back To Black,Amy Winehouse,Universal-Island Records Ltd.
Eventually,Currents,Tame Impala,Universal Music Australia Pty. Ltd.
Season 2 Episode 3,How To Be A Human Being,Glass Animals,Wolf Tone
American Girl,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,Rhino/Warner Records
Life's Been Good,"But Seriously, Folks...",Joe Walsh,Rhino/Elektra
undefined,undefined,undefined,undefined
undefined,undefined,undefined,undefined
Mariposa,Mariposa,Peach Tree Rascals,"Homemade Projects, LLC / TenThousand Projects, LLC"
You And Me,Penny & the Quarters EP,Penny & The Quarters,Numero Group
Walk Like a Man,Big Girls Don't Cry and 12 Other Hits,Frankie Valli & The Four Seasons,Rhino
My Summer Love,All I've Learned Is to Be the Fool,Belair,iMD-El heaven Records
Cold Cold Cold,Tell Me I'm Pretty,Cage The Elephant,RCA Records Label
I Can't Handle Change,I Can't Handle Change,Roar,Felt Forest Records
Sweet to Me,Driving to Hawaii,Summer Salt,Cherry Lime Records
"Check Yes, Juliet",We The Kings,We The Kings,S-Curve Records
What You Know,Tourist History,Two Door Cinema Club,Glassnote Entertainment Group LLC
Needs,Needs,Verzache,Zach Farache
Your Graduation,You're Gonna Miss It All,Modern Baseball,"Run For Cover Records, LLC"
Mardy Bum,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,Domino Recording Co
Where'd All the Time Go?,"Shame, Shame (Deluxe Edition)",Dr. Dog,Anti/Epitaph
Breezeblocks,An Awesome Wave,alt-J,Canvasback/ATL
Bound 2,Yeezus,Kanye West,Rock The World/IDJ/Kanye/LP6
Funky Town,Paradas Continuas,Lipps Inc.,CONSECUENCIAS DISCOGRAFICAS
"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]","ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",100 gecs;Charli xcx;Rico Nasty;Kero Kero Bonito,Dog Show Records
BEST INTEREST,BEST INTEREST,"Tyler, The Creator",Columbia
Always Forever,Static,Cults,Columbia
Money,Portamento,The Drums,Frenchkiss Records
Polly,Light Upon the Lake,Whitney,Secretly Canadian
Spring Has Sprung,Holiday Food,Skegss,WM Australia
Wake the Fuck Up,Everyone Is Good at Something,Skegss,Skegss
Shooting Stars,Bag Raiders (Deluxe),Bag Raiders,Modular
Heart It Races - Cover Version,Heart It Races,Dr. Dog,Architecture In Helsinki
L.S.D,L.S.D,Skegss,Loma Vista Recordings
GOSHA,GOSHA,$NOT,Repost Network
Doom Generation,Nothing Yet,Surf Curse,Danger Collective Records
My Face,Everyone Is Good at Something,Skegss,Skegss
Evil Woman,The Essential Electric Light Orchestra,Electric Light Orchestra,Epic
Fire in Cairo - 2005 Remaster,Three Imaginary Boys (Deluxe Edition),The Cure,Rhino/Elektra
Two Weeks,Veckatimest,Grizzly Bear,Warp Records
L.S.D,L.S.D,Skegss,Skegss
Freaks,Buds,Surf Curse,Big Joy Records
Island In The Sun,Weezer,Weezer,Geffen
You Are Going to Hate This,You Are Going to Hate This,The Frights,Dangerbird Records
Gooey,ZABA,Glass Animals,Wolf Tone
Color Blind,Color Blind,Diplo;Lil Xan,Columbia
The Reservoir,The Reservoir,Small Forward,Forged Artifacts
S.O.S In Bel Air,Bankrupt!,Phoenix,Glassnote Entertainment Group LLC
Age of Consent - 2015 Remaster,Power Corruption and Lies,New Order,Rhino
Swing Lynn,I'm Sure,Harmless,Harmless
Morning Sex,Morning Sex,Ralph Castelli,Ralph Castelli
Never,Never,Christian Leave,GODMODE
4 Leaf Clover (feat. Steve Lacy),Crush EP,Ravyn Lenae;Steve Lacy,Atlantic Records/Three Twenty Three Music Group
Black Sheep,Black Sheep,Metric,MMI Inc.
Black Sheep,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),Metric,ABKCO (US)
Bird Song,Lungs (Deluxe Edition),Florence + The Machine,Universal-Island Records Ltd.
Where Is My Mind?,Surfer Rosa (Remastered),Pixies,4AD
Here Comes Your Man,Doolittle,Pixies,4AD
La La Love You,Doolittle,Pixies,4AD
Hey,Doolittle,Pixies,4AD
Blister In The Sun,Violent Femmes,Violent Femmes,Craft Recordings
This Must Be the Place (Naive Melody) - 2005 Remaster,Speaking in Tongues (Deluxe Version),Talking Heads,Rhino/Warner Records
Please Do Not Go,Violent Femmes,Violent Femmes,Craft Recordings
Prove My Love,Violent Femmes,Violent Femmes,Craft Recordings
When I'm Sixty Four - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,EMI Catalogue
Lucy In The Sky With Diamonds - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,EMI Catalogue
Getting Better - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,EMI Catalogue
Within You Without You - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,EMI Catalogue
You Really Got Me,Kinks (Deluxe),The Kinks,Castle Communications
Lola,"Lola Versus Powerman and the Moneygoround, Pt. One",The Kinks,Castle Communications
All Day and All of the Night,Kinks (Deluxe),The Kinks,Castle Communications
Waterloo Sunset,Something Else (Deluxe),The Kinks,Castle Communications
So Mystifying,Kinks (Deluxe),The Kinks,Castle Communications
Just Can't Go to Sleep,Kinks (Deluxe),The Kinks,Castle Communications
Someone To Spend Time With,Someone To Spend Time With,Los Retros,Stones Throw Records
The Breeze,Fate,Dr. Dog,Park The Van
Beach Comber,Real Estate,Real Estate,Real Estate The Band
Chateau,Snow,Angus & Julia Stone,Nettwerk Records
505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,Domino/Warner Records
My Life,52nd Street,Billy Joel,Columbia
White Winter Hymnal,Fleet Foxes,Fleet Foxes,Sub Pop Records
Sick Shit,Badillac,Together Pangea,Harvest Records
Sit Next to Me,Sacred Hearts Club,Foster The People,Columbia
Panic,The Delphines,The Delphines,Gloss Records
We Come Running,Youngblood Hawke,Youngblood Hawke,Universal Records
Sweet Marie,Young Men,The Walters,The Walters
Blue Coupe,Sweet '17 Singles,Twin Peaks,Fat Possum
All Alone,All Alone,Acid Ghost,Acid Ghost
Got On My Skateboard,Got On My Skateboard,Skegss,Loma Vista Recordings
Young,Vibes,Vacations,No-Fi Records
Honeypie,Honeypie,JAWNY,Johnny Utah
Just like Heaven,"Kiss Me, Kiss Me, Kiss Me",The Cure,Rhino/Elektra
Bubba,Mildew,Jack Larsen,Closed Sessions
The Difference,The Difference,Flume;Toro y Moi,Future Classic
Animal,Miike Snow,Miike Snow,Downtown Records/Republic Records
Lowlife,Bubblebath,That Poppy,Island Records
I'm Free,Freedom's Goblin,Ty Segall,Drag City Records
007 (Shanty Town),This Is Desmond Dekkar,Desmond Dekker,Sanctuary Records
Understand,Trilogy,Christian Leave,GODMODE
We All Need Something,Grow,Bedroom;Jade Lawhon,no label company
$10 ,Prize // Reward,Good Morning,Bedroom Suck Records
Roddy,Twenty Twenty,Djo,Djo
Come A Little Bit Closer,Come A Little Bit Closer: The Best Of Jay & The Americans,Jay & The Americans,Capitol Records
Last Nite,Is This It,The Strokes,RCA Records Label
Maybe,Flood,RICEWINE,RICEWINE
Horchata,Contra,Vampire Weekend,XL
If I Ever Feel Better,United,Phoenix,Parlophone (France)
Sofia,Immunity,Clairo,FADER Label
West Coast,Nighttiming,Coconut Records,Young Baby Records
Stella Brown,Stella Brown,Jelani Aryeh,No Matter
626 Bedford Avenue,Brutalism,The Drums,Anti/Epitaph
When The Sun Goes Down,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,Domino Recording Co
i met sarah in the bathroom,i met sarah in the bathroom,awfultune,awfultune
Phantom Limb,Wincing The Night Away,The Shins,Sub Pop Records
The Enemy,Waterloo To Anywhere,Dirty Pretty Things,EMI
Sweet Emotion,Toys In The Attic,Aerosmith,Columbia
"I Feel Love - 12"" Version",Bad Girls (Deluxe Edition),Donna Summer,Island Def Jam
Heart Of Glass,Parallel Lines,Blondie,Chrysalis\EMI Records (USA)
Excitement,Excitement,Trippie Redd;PARTYNEXTDOOR,"1400 Entertainment, Inc. / TenThousand Projects, LLC"
Your Mrs,One Wave,JAY1,GRM Daily Records
"All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther The Album Music From And Inspired By,Kendrick Lamar;SZA,Black Panther (TDE/DMG) PS
I Feel Free,Fresh Cream,Cream,Polydor Records
White Walls (feat. ScHoolboy Q & Hollis),The Heist,Macklemore & Ryan Lewis;Hollis;ScHoolboy Q,Macklemore
Oh Klahoma,Pop Food,Jack Stauber,Plopscotch Records
Give Him A Great Big Kiss,Leader Of The Pack,The Shangri-Las,Island Def Jam
Jealous,Jealous,Eyedress,Lex Records
Sex on Fire,Only By The Night,Kings of Leon,RCA/Legacy
Sleep Thru Ur Alarms,Surrender (2014 - 2017),Lontalius,Lontalius
You & Me - Flume Remix,2019 Mix,Disclosure;Eliza Doolittle;Flume,"UMG Recordings, Inc."
Fake Love,More Life,Drake,Cash Money Records/Young Money Ent./Universal Rec.
One Dance,Views,Drake;Wizkid;Kyla,Cash Money Records/Young Money Ent./Universal Rec.
Trampoline,MELT,SHAED,Photo Finish Records
Bring My Baby Back,The Psychedelic Swamp,Dr. Dog,Anti/Epitaph
Lost In The Light,Barchords,Bahamas,Brushfire Records/Universal
Real Love Baby,Real Love Baby,Father John Misty,Sub Pop Records
"When They Fight, They Fight",Con Law,Generationals,Generationals
Way To Go,Two Vines,Empire Of The Sun,EMI Recorded Music Australia Pty Ltd
We're Going To Be Friends,White Blood Cells,The White Stripes,Third Man Records
Lemon To My Lime,Grogan Grove,The Grogans,The Grogans
Money Longer,Lil Uzi Vert vs. The World,Lil Uzi Vert,Generation Now/Atlantic
Heart Of Glass (Live from the iHeart Festival),Heart Of Glass / Midnight Sky,Miley Cyrus,RCA Records Label
The Motto,Take Care (Deluxe),Drake;Lil Wayne,Cash Money Records/Young Money Ent./Universal Rec.
Sweet Nothing (feat. Florence Welch),18 Months,Calvin Harris;Florence Welch,Columbia
Lucifer,The Black Album,JAY-Z,Roc Nation / Jay-Z
Nancy From Now On,Fear Fun,Father John Misty,Sub Pop Records
Happy Together,Happy Together,The Turtles,"Flo & Eddie, Inc."
Love Street,Waiting for the Sun,The Doors,Rhino
About You Now,About You Now,OTTO,PLZ Make It Ruins
Awkward - EP Version,San Cisco,San Cisco,Fat Possum Records/RCA Records
Ocean's Deep,Birthmarks,Born Ruffians,Yep Roc Records
Shy,Shy,Hether,Hether4theweather
I Want To Hold Your Hand - Remastered 2015,1 (Remastered),The Beatles,UMC (Universal Music Catalogue)
All My Loving - Remastered 2009,With The Beatles (Remastered),The Beatles,EMI Catalogue
You Seemed So Happy,Good At Falling,The Japanese House,Dirty Hit Ltd
Burning,Lost In The Dream,The War On Drugs,Secretly Canadian
Up!,Up!,The Legends;Vilma Flood,Golden Islands
Cannons,The Year of Hibernation,Youth Lagoon,Fat Possum Records
Chelsea Dagger,Costello Music,The Fratellis,Universal-Island Records Ltd.
Say It (feat. Tove Lo),Skin,Flume;Tove Lo,Mom & Pop Music
Can She Dance,"Critical 7""",Dr. Dog,We Buy Gold Records
Arms Tonite,O My Heart,Mother Mother,Last Gang
Verbatim,Touch Up,Mother Mother,Last Gang
Pillow,Pillow,Ryan Woods,Asylum Worldwide LLC
It All Feels Right,Paracosm,Washed Out,Weird World
Aberdeen - Unpeeled,Unpeeled,Cage The Elephant,RCA Records Label
Summer Lover,Summer Lover,YMA;Gab Ferreira,Matraca / YB Music
Rush,Por Vida,Kali Uchis,Kali Uchis LLC
Brutal Earthquake,Her Kind of Man,Tino Drima,Friendship Fever
Genesis,Visions,Grimes,4AD
Oblivion,Visions,Grimes,4AD
Golden Hind,The Psychedelic Swamp,Dr. Dog,Anti/Epitaph
Oh No,Gentle Warnings,Jack and Eliza,Yebo Music
Young Love (feat. Laura Marling),Twenty One,Mystery Jets;Laura Marling,679 Recordings UK. Ltd.
Pretty Green (feat. Santigold),Version,Mark Ronson;Santigold,Columbia
Dream,"For Lovers, Dreamers & Me",Alice Smith,Epic
Pulling Mussels (From The Shell),Argybargy,Squeeze,A&M
Change of seasons,Sweet Thing,Sweet Thing,Indie Pool
The Wolf,Tell It To The Volcano,Miniature Tigers,Modern Art
Go On,Eureka,Rooney,Island Records
Symphonies,[[UN]],Dan Black,Embassy of Music
Annie Oakley,Tell It to the Volcano,Miniature Tigers,Yebo Music
Last Night's Fake Blood,Tell It to the Volcano,Miniature Tigers,Yebo Music
Half a Million - Flipped,The Worm's Heart,The Shins;James Mercer,Aural Apothecary/Columbia
Fast Car,Fast Car,Jonas Blue;Dakota,Positiva
Dræm Girl,Summer Break Mixtape,No Vacation,No Vacation
Going to California - Remaster,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,Atlantic Records
Cool Girl,Lady Wood,Tove Lo,Universal Music AB
Sorry,Sorry,STACY OUTRAGEOUS,Olivier Cazier
Funny Thing,It Is What It Is,Thundercat,Brainfeeder
First Love / Late Spring,Bury Me At Makeout Creek,Mitski,Dead Oceans
Jobless Monday,Bury Me At Makeout Creek,Mitski,Dead Oceans
Francis Forever,Bury Me At Makeout Creek,Mitski,Dead Oceans
Lonesome Town,Ricky Sings Again (Expanded Edition / Remastered),Ricky Nelson,Capitol Records
Laughing on the Outside,Cleopatra Girls,Bernadette Carroll,Numero Group
Beautiful Boy (Darling Boy) - 2010 Remastered,Beautiful Boy (Original Motion Picture Soundtrack),John Lennon,Warner Records
I'm Waiting For The Man,Playlist Plus,The Velvet Underground;Nico,Universal Music Ltd.
Unavailable,Can't Go Back,Papercuts,Gnomonsong
Jesus Wants Me For A Sunbeam,Enter The Vaselines (Deluxe Edition),The Vaselines,Sub Pop
Cold Blooded Old Times,Knock Knock,Smog,Drag City Records
7 Heure Du Mat,The French Mademoiselle,Jacqueline Taieb,Anthology's
Sleep the Clock Around,The Boy With The Arab Strap,Belle and Sebastian,Jeepster Recordings Ltd
Alone Again Or,Forever Changes,Love,Elektra Records
Just Like Honey,Psychocandy (Expanded Version),The Jesus and Mary Chain,Rhino
Little Baby,Juno (Music From The Motion Picture),The Bristols,Rhino
Crocodile Rock,Lost & Found: Elton John,Elton John,Universal International Music BV
You Know You Like It,You Know You Like It,DJ Snake;AlunaGeorge,Universal-Island Records Ltd.
Hello Hello Hello - Polo & Pan Remix,Hello Hello Hello (Polo & Pan Remix),Remi Wolf;Polo & Pan,Island Records
Va Va Voom,Pink Friday ... Roman Reloaded (Deluxe),Nicki Minaj,Nicki Minaj/Cash Money
Heaven or Las Vegas,Heaven or Las Vegas,Cocteau Twins,4AD
Seymour Stein - BBC Session,The BBC Sessions,Belle and Sebastian,Jeepster Recordings Limited
Baby Got Going,Whitechocolatespaceegg,Liz Phair,Capitol Records
Your Friend and Mine - Neil's Song,Four Sail (Expanded Edition),Love,Rhino/Elektra
Mendocino,The Complete Mercury Masters,Sir Douglas Quintet,Universal Music Ltd.
My Little Red Book - Stereo Version,Love,Love,Rhino/Elektra
Leader Of The Pack,60s Girl Groups - The Shangri-Las & The Crystals,The Shangri-Las,Silverphonic Records
Janie Jones,The Essential Clash,The Clash,Columbia
The Night Chicago Died - Re-Recorded,Classic Soft Rock,Paper Lace,Purple Pyramid
Mad Lucas,Last Splash,The Breeders,4AD
Avant Gardener,The Double EP: A Sea of Split Peas,Courtney Barnett,House Anxiety
Wild Side (Oh the Places You'll Go),Harlem River,Kevin Morby,Woodsist
Something,Eternal Sunshine Of The Spotless Mind,The Willowz,Hollywood Records
My Boy - Twin Fantasy,Twin Fantasy,Car Seat Headrest,Matador
Sober to Death,Twin Fantasy,Car Seat Headrest,Matador
Stop Smoking (We Love You),Twin Fantasy,Car Seat Headrest,Matador
Bodys,Twin Fantasy,Car Seat Headrest,Matador
Rawnald Gregory Erickson the Second,Starfucker,STRFKR,Badman Recording Co
Acting My Age,Acting My Age,The Academic,Capitol Records UK / EMI
Agony,Stranger,Yung Lean,YEAR0001
Wild Thing,From Nowhere,The Troggs,UMC (Universal Music Catalogue)
I Can't Control Myself,From Nowhere,The Troggs,UMC (Universal Music Catalogue)
Louie Louie,From Nowhere,The Troggs,UMC (Universal Music Catalogue)
Our Love Will Still Be There,From Nowhere,The Troggs,UMC (Universal Music Catalogue)
Friday on My Mind,Easy,The Easybeats,Albert Productions
Groovin',Groovin' (Mono),The Young Rascals,Rhino Atlantic
You're a Moody Guy,Tune In With...,The Bristols,Damaged Goods
Futura Free,Blonde,Frank Ocean,Boys Don't Cry
Adult Diversion,Alvvays,Alvvays,Polyvinyl Records
When I'm With You,Crazy For You,Best Coast,Mexican Summer
Making Breakfast,Wild Onion,Twin Peaks,Grand Jury Music
Shark Smile - Edit,Shark Smile (Edit),Big Thief,Saddle Creek
"Archie, Marry Me",Alvvays,Alvvays,Polyvinyl Records
Next of Kin,Alvvays,Alvvays,Polyvinyl Records
Cool,PV Digest #2,White Reaper,Polyvinyl Records
Jealousy (French Version),The Delmonas,The Delmonas,Damaged Goods
Borderline,The Slow Rush,Tame Impala,Universal Music Australia Pty. Ltd.
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,EMI Catalogue
When the Devil's Loose,When the Devil's Loose,A.A. Bondy,Fat Possum
Why Are Sundays So Depressing,The New Abnormal,The Strokes,Cult Records/RCA Records
Mary's Boy Child / Oh My Lord - Long Version,Christmas Party,Boney M.,RCA Camden
London Town - Remastered 1993,London Town,Wings,Paul McCartney Catalog
Panic - Recorded at Spotify Studios NYC,Spotify Singles,The Shins;James Mercer,Aural Apothecary/Columbia
Buckets of Rain,Blood On The Tracks,Bob Dylan,Columbia
blackboard.edu,blackboard.edu,Arlie,Atlantic Records
Maple Syrup,Maple Syrup,The Backseat Lovers,The Backseat Lovers
Saint Ivy,Somersault,Beach Fossils,Bayonet Records
What a Pleasure,What a Pleasure,Beach Fossils,Bayonet Records
Morning Song,Today,Babe Rainbow,Eureka Music
Love Forever,The Babe Rainbow EP,Babe Rainbow,Flightless Records
Hey Baby (Drop It to the Floor) (feat. T-Pain),Planet Pit (Deluxe Version),Pitbull;T-Pain,Mr.305/Polo Grounds Music/J Records
Shake Senora (feat. T-Pain & Sean Paul),Planet Pit (Deluxe Version),Pitbull;T-Pain;Sean Paul,Mr.305/Polo Grounds Music/J Records
Pause,Planet Pit (Deluxe Version),Pitbull,Mr.305/Polo Grounds Music/J Records
O.P.P. (Re-Recorded),Hip Hop R&B Gold 80s & 90s (Re-Recorded Versions),Naughty By Nature,X-Ray Records
My Chick Bad,Battle Of The Sexes (Deluxe),Ludacris;Nicki Minaj,"Disturbing Tha Peace Recordings, Inc."
Danza Kuduro,Meet The Orphans,Don Omar;Lucenzo,UMLE - Machete
MIRACLES,Bloom,Cannibal Kids,Shaemax Records
You Know It,Only The Lonely,Colony House,Descendant Records/RCA Records
After the Moment,Idle Labor,Craft Spells,Captured Tracks
Dream Girl,Dream Girl,Crisaunt,Crisaunt
Ghostride,Jinx,Crumb,Crumb Records
My Own Worst Enemy,A Place In The Sun,Lit,RCA Records Label
Trick Me - Club Mix,Tasty,Kelis,Arista
Hungry Like the Wolf,Greatest,Duran Duran,Parlophone UK
Spun,Never Trust a Happy Song,GROUPLOVE,Canvasback/ATL
Swing Lynn (Slowed Version),Swing Lynn (Slowed Version),Harmless,Harmless
Cry For Me,Pain / Ache / Loving,HUNNY,Epitaph
La Belle Femme,Pain / Ache / Loving,HUNNY,Epitaph
Somethings Gotta Hold Of My Heart,"Guys 'N Dolls, The Greatest Hits",Guys 'n' Dolls,Cloud 9 Music
Ti Ein Afto Pou To Lene Agapi (Boy On a Dolphin),I Varka Gyrise Moni (Recordings 1952-1958),Sophia Loren;Tonis Maroudas,Vintage Music gr
Eclipse,Eclipse,Inner Wave,Inner Wave
Miroirs: III. Une barque sur l'océan,"Ravel: Miroirs, Jeux D'Eau, Pavane Pour Une Infante Défunte",Maurice Ravel;André Laplante,Analekta
American Spirits,III,Inner Wave,Inner Wave
Eclipse,Underwater Pipe Dreams,Inner Wave,Inner Wave
Junk Of The Heart (Happy),Junk Of The Heart,The Kooks,Virgin
I Wanna Love Ya,I Wanna Love Ya,Mama Oh No,579019 Records DK
You Are the Right One,Naked All the Time,Sports,Sports
These Girls,Caress Your Soul,Sticky Fingers,SureShaker Music
Don't Speak,Tragic Kingdom,No Doubt,Trauma
Good Luck,Good Luck,The Undercover Dream Lovers,The Undercover Dream Lovers
,,,
Sensitivity,Thanatophobia,Worn-Tin,Synchronized Sound
Hey Love,Hey Love,filous;The Kooks,Ultra Records
The Look,The English Riviera,Metronomy,Because Music Ltd.
Out The Blue - Remastered 2010,Mind Games,John Lennon,EMI Catalogue
Go Outside,Cults,Cults,ITNO/Columbia
The Tide Is High,Best Of Blondie,Blondie,Chrysalis\EMI Records (USA)
Heroes And Villians - Remastered,Fantastic Mr. Fox (Original Soundtrack),The Beach Boys,ABKCO (US)
Street Fighting Man,Fantastic Mr. Fox (Original Soundtrack),The Rolling Stones,ABKCO (US)
Stargazing,Chip Chrome & The Mono-Tones (Deluxe),The Neighbourhood,Columbia
The Passenger,Lust For Life,Iggy Pop,Virgin Records
"Girl, You'll Be A Woman Soon",The Bang Years 1966-1968 (The 23 Original Mono Recordings),Neil Diamond,Universal Music Group
(Don't Fear) The Reaper - Single Version,Shaun White Snowboarding: Official Soundtrack,Blue Öyster Cult,SONY BMG MUSIC (CANADA) INC.
Time to Pretend,Oracular Spectacular,MGMT,Red Ink/Columbia
I Remember Everything,I Remember Everything,John Prine,Oh Boy Records
Disciples,Currents,Tame Impala,Universal Music Australia Pty. Ltd.
Nova Scotia 500,Goose Bumps,Boyscott,Topshelf Records
Fake ID,Tales From The Backseat,The Academic,Capitol
Slow Down,Higher Place,Skip Marley;H.E.R.,Island Records
Slow Dances,Slow Dances,Winnetka Bowling League,RCA Records Label
Promiscuous,The Best of Nelly Furtado (International Version),Nelly Furtado;Timbaland,Universal Music Group
My Kind of Woman,2,Mac DeMarco,Captured Tracks
Brazil,Brazil,Declan McKenna,High Quality Popular Music
Bags,Bags,Clairo,FADER Label
I Feel,I Feel,Bad Sounds,Just Off Pop
Threat of Joy,Future Present Past,The Strokes,"Cult Records, LLC"
