Track Name,Album Name,Artist Name(s),Record Label
Miss Glum & the Pursuit of Falling,Yellow and Such,Gus Dapperton,Gus Dapperton
Doses & Mimosas,Year of the Caprese,Cherub,Columbia
Mercy (feat. What So Not & Two Feet),Forever Neverland,MØ;What So Not;Two Feet,Chess Club/RCA Victor
In Your Arms,Wonderer,Sunbeam Sound Machine,Dot Dash
Hiding,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,Universal-Island Records Ltd.
What's Left,Songs for Dads,The Walters,The Walters
Fake ID,Fake ID,Riton;Kah-Lo,Last Gang
Pumpin Blood,We Are Only What We Feel,NONONO,WM Sweden
Wait a Minute!,ARDIPITHECUS,WILLOW,Roc Nation W Smith P&D
Cooks,Cooks,Still Woozy,672794 Records DK
Ribs,Pure Heroine,Lorde,Universal Music New Zealand Limited
Why Do You Feel So Down,What Do You Think About the Car?,Declan McKenna,Columbia
Ivory Black,Hallucinate,Oliver Riot,596589 Records DK
The Louvre,Melodrama,Lorde,Universal Music New Zealand Limited
Doo Wop (That Thing),The Miseducation of Lauryn Hill,Ms. Lauryn Hill,Ruffhouse/Columbia
Perfect,Made In The A.M. (Deluxe Edition),One Direction,Syco Music
End of the Day,Made In The A.M. (Deluxe Edition),One Direction,Syco Music
Ever Since New York,Harry Styles,Harry Styles,Columbia
3005,Because The Internet,Childish Gambino,Glassnote Entertainment Group LLC
I Follow Rivers - The Magician Remix,I Follow Rivers (The Magician Remix),Lykke Li;The Magician,Atlantic Records
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit;Zara Larsson,Atlantic Records UK
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky;Skepta,A$AP Worldwide/Polo Grounds Music/RCA Records
One Thing,Up All Night,One Direction,Syco Music UK
Like A G6,Free Wired,Far East Movement;The Cataracs;DEV,Interscope
Fancy Shoes,Songs for Dads,The Walters,The Walters
Brazil,What Do You Think About the Car?,Declan McKenna,Columbia
Put a Light On,Heza,Generationals,Polyvinyl Records
Dazed & Confused,Dazed & Confused,Ruel,RCA Records Label
you should see me in a crown,you should see me in a crown,Billie Eilish,Darkroom
Perfect Places,Melodrama,Lorde,Universal Music New Zealand Limited
Sleep Talking,Sleep Talking,Charlotte Lawrence,Charlotte Lawrence under exclusive license to Human Re Sources Records
Sleeptalking,Sleeptalking,Travelers,Travelers
Talia,Talia,King Princess,"Zelig Records, LLC./Columbia Records"
I Love You So,Songs for Dads,The Walters,The Walters
My My My!,Bloom,Troye Sivan,EMI Recorded Music Australia Pty Ltd
Dark Red,Dark Red,Steve Lacy,Three Quarter
The Way It Was,The Way It Was,Coast Modern,300 Entertainment / +1 Records
Basic,Brazil,Declan McKenna,High Quality Popular Music
I Am Everyone Else,What Do You Think About the Car?,Declan McKenna,Columbia
Surfin' U.S.A. - Remastered,60s Rock,The Beach Boys,"UMG Recordings, Inc."
Nights In White Satin - Single Version / Mono Mix,60s Rock,The Moody Blues,"UMG Recordings, Inc."
Lucy,Lucy,Still Woozy;ODIE,DistroKid.com
Past Lives,Dopamine,BØRNS,UMGRI Interscope
I Really Love You,Above Water,Gibbz,Gibbz
girl in new york,girl in new york,ROLE MODEL,HRM
Oxytocin,Heddison,Jack Conman,Axolotl Records
Rare Hearts,Chinese Fountain,The Growlers,Everloving Records
Moon River,Moon River,Frank Ocean,Blonded
Naïve Unprepared Child,Fatigue,Zach Farache,623596 Records DK
BTSTU - Edit,BTSTU (Edit),Jai Paul,XL Recordings
Chamber Of Reflection,Salad Days,Mac DeMarco,Captured Tracks
I'm Coming Out,Diana,Diana Ross,Motown
Summertime,CLPPNG,clipping.;King Tee,Sub Pop Records
Sympathy For The Devil,Beggars Banquet,The Rolling Stones,Universal Music Group
Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,UMC (Universal Music Catalogue)
Roses,Speakerboxxx/The Love Below,Outkast,Arista
It's Strange (feat. K.Flay),It's Strange (feat. K.Flay),Louis The Child;K.Flay,Next Wave Records
Lets Go Surfing,The Drums,The Drums,Downtown Records
Play,Kin,iamamiwhoami,V2 Cooperative Music
No Intention,Bitte Orca (Expanded Edition),Dirty Projectors,Domino Recording Co
Flaming Hot Cheetos,Flaming Hot Cheetos,Clairo,FADER Label
I Want You to Want Me,I Want You to Want Me,Children of Paradise;Chantal Claret,Children of Paradise
B Cool (feat. Melanie Faye),B Cool (feat. Melanie Faye),Magroove;Melanie Faye,Spaced Out Records
Lay All Your Love On Me,ABBA Gold,ABBA,Polar Music International AB
Kisses Of Fire,Voulez-Vous,ABBA,Polar Music International AB
Beach Daze,Mulholland Dr.,The Palms,The Palms
Come Home,Come Home,The Undercover Dream Lovers,The Undercover Dream Lovers
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,Columbia
Cuz You're My Girl,Cuz You're My Girl,Yung Heazy,Yung Heazy
TenTwentyTen,ActorCaster,Generationals,Generationals
Sweet Talk,saintmotelevision,Saint Motel,Elektra (NEK)
Hallucinating,Elohim,Elohim,BMG Rights Management (US) LLC
WESTWORLD,WESTWORLD,EVAN GIIA,Foreign Family Collective
Sleepy Eyes,Elohim,Elohim;Whethan,BMG Rights Management (US) LLC
Runaway Man,Runaway Man,Olivia Willhite,Olivia Willhite
Hayloft,O My Heart,Mother Mother,Last Gang
Lo Que Siento,Lo Que Siento,Cuco,Cuco
"A Long Slow Little Wave / Citizen, an Activity",Loving,Loving,Loving
"Call It Fate, Call It Karma",Comedown Machine,The Strokes,RCA Records Label
Driving to Hawaii,Driving to Hawaii,Summer Salt,586484 Records DK
I'll Stick by You,I'll Stick by You,Marlin's Dreaming,Marlin's Dreaming
This Charming Man - 2011 Remaster,The Smiths,The Smiths,WM UK
Campus,Vampire Weekend,Vampire Weekend,XL Recordings
Supercut,Melodrama,Lorde,Universal Music New Zealand Limited
Saw You In A Dream,Saw You In A Dream,The Japanese House,Dirty Hit/The Japanese House PS
Chanel,Chanel,Frank Ocean,Blonded
Unbelievers,Modern Vampires of the City,Vampire Weekend,XL
Alien Boy,Alien Boy EP,Oliver Tree,Atlantic Records
"Gum, Toe and Sole",Yellow and Such,Gus Dapperton,Gus Dapperton
Humongous,What Do You Think About the Car?,Declan McKenna,Columbia
Sweat (A La La La La Long),Blazzin' Fire,Inner Circle,DubShot Records/Sound Bwoy Entertainment
All Night (feat. Knox Fortune),Coloring Book,Chance the Rapper;Knox Fortune,Chance the Rapper
Steam,Sugar & Spice,Red Sea,Truly Bald
Exhale,XY,Treasureseason,Treasureseason
Love My Way,All Of This And Nothing,The Psychedelic Furs,Columbia
Kids,Oracular Spectacular,MGMT,Red Ink/Columbia
Malibu 1992,Malibu 1992,COIN,StarTime International/Columbia
Giant,Giant,Vampire Weekend,XL Recordings
Restless Year,Perpetual Motion People,Ezra Furman,Bella Union
Low,Low,THE DRIVER ERA,TOO Records
Only in the West,Only in the West,Yeek,Yeek
"Prune, You Talk Funny","Prune, You Talk Funny",Gus Dapperton,Gus Dapperton
Goodie Bag,Goodie Bag,Still Woozy,672794 Records DK
Are You Bored Yet? (feat. Clairo),Are You Bored Yet? (feat. Clairo),Wallows;Clairo,Atlantic Records
Jerk It Out,Love For The Streets,Caesars,Parlophone Sweden
Provider,Provider,Frank Ocean,Blonded
Holding On,Devotion,Tirzah,Domino Recording Co
In My Dreams,Isolation,Kali Uchis,EMI
Nobody,Be the Cowboy,Mitski,Dead Oceans
Feeling Lonely,Soy Pablo,boy pablo,U OK?
22,22,Leisure Club,Leisure Club
TTM (feat. Wiz Khalifa & NGHTMRE),Catch These Vibes,PnB Rock;Wiz Khalifa;NGHTMRE,Atlantic Records
Cleaner Air,Cleaner Air,Yeek,Yeek Recordings
Symphonia IX,Wild Heart,Current Joys,Current Joys
Baby I'm Yours - feat. Irfrane,By Your Side,Breakbot,Because Music/Sire Records
Breakfast With Lou,Dandelion,Jesse Jo Stark,Sugar Jones Music
Inside You,Holo Pleasures / California Dreamin',Elvis Depressedly,"Run For Cover Records, LLC"
1901,Wolfgang Amadeus Phoenix,Phoenix,Glassnote
Marcel,Marcel,Her's,Heist Or Hit Records
Blue,"B-Sides, Rarities and Demos",Current Joys,Current Joys
You Make Me Wanna Die,You Make Me Wanna Die,The Shivas,K Records
Hit or Miss,Dance Alone,BOYO,Danger Collective
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Darkroom/Interscope Records
Can't Take My Eyes Off You,Bröllopslåtar,Frankie Valli,Warner Music Group - X5 Music Group
Pleaser,Pleaser,Wallows,Atlantic Records
Sunflower (feat. Steve Lacy),Sunflower / Big Blue,Vampire Weekend;Steve Lacy,Columbia
Nothing in Return,Nothing in Return,Monsune,Monsune
Honey,Honey,Sebastian Roca,Nice Guys
Small Talk,Small Talk,Postcard Boy,playroom
Feeling Good,Feeling Good,Madson Project.;Ok2222,Madson Projects
Head in the Clouds,Head in the Clouds,Hot Flash Heat Wave,Hot Flash Heat Wave / EMPIRE
Dope on a Rope,City Club,The Growlers,"Cult Records, LLC"
L$D,AT.LONG.LAST.A$AP,A$AP Rocky,A$AP Worldwide/Polo Grounds Music/RCA Records
Dontmakemefallinlove,Chiquito,Cuco,Cuco
Cell,Cell,Calpurnia,Royal Mountain Records
Blame,Scout,Calpurnia,Royal Mountain Records
The Less I Know The Better,Currents,Tame Impala,Universal Music Australia Pty. Ltd.
Weekend Friend,Weekend Friend,Goth Babe,Goth Babe
Tungs,You Are Going to Hate This,The Frights,Dangerbird Records
Crust Bucket,The Frights,The Frights,Postmark Records
Sunnyside,Sunnyside,Cuco,Cuco
Orpheus Under the Influence,Buttertones,The Buttertones,LOLIPOP RECORDS
Weekend 4 the Girls,Weekend 4 the Girls,Dreamgirl,Dreamgirl
Hide,"How to: Friend, Love, Freefall",Rainbow Kitten Surprise,Elektra (NEK)
Agitated Honeybees,Neaptide,Neaptide,Neaptide
bitches broken hearts,bitches broken hearts,Billie Eilish,Darkroom
Be My Baby,Be My Baby: The Very Best of The Ronettes,The Ronettes,Legacy Recordings
Dancing,Dancing,Mellow Fellow,Mellow Fellow
"Holland, 1945",In the Aeroplane Over the Sea,Neutral Milk Hotel,Merge Records
Everything Now,Everything Now,Arcade Fire,Columbia
Undercover Martyn,Tourist History,Two Door Cinema Club,Glassnote Entertainment Group LLC
A-Punk,Vampire Weekend,Vampire Weekend,XL Recordings
Telephone,Telephone,CASTLEBEAT;Sonia Gadhia,Spirit Goth Records
"What Is Love? Tell Me, Is It Easy?",Spoonfed,Hala,Hala Recordings
Sun's Out,Routines,Hoops,Fat Possum
Eleven Weeks,"The Rolling, Driftless North",Vansire,591842 Records DK
"Dance, Baby!",Roy Pablo,boy pablo,777 Music
Sweet Disaster,This Album Does Not Exist,DREAMERS,Fairfax Recordings
Say My Name,In Return,ODESZA;Zyra,Counter Records
I THINK,IGOR,"Tyler, The Creator",Columbia
EARFQUAKE,IGOR,"Tyler, The Creator",Columbia
ARE WE STILL FRIENDS?,IGOR,"Tyler, The Creator",Columbia
Tribe (with J. Cole),Milky Way,Bas;J. Cole,J. Cole/ DreamVille
Flower Moon (feat. Steve Lacy),Father of the Bride,Vampire Weekend;Steve Lacy,Columbia
Cold Cold Man,My Type EP,Saint Motel,Parlophone UK
Love Is Strange,Love Is Strange - The Best Of,Mickey & Sylvia,Classic Music International
Blue Velvet,Blue Velvet - Greatest Hits,Bobby Vinton,Master Classics Records
Runaround,The Very Best Of The Fleetwoods,The Fleetwoods,Classic Music International
My Girl,The Temptations Sing Smokey,The Temptations,Universal Music Group
My Happiness,True 50's love,Connie Francis,Universal Music
SWEET,SATURATION II,BROCKHAMPTON,"QUESTION EVERYTHING, INC. / EMPIRE"
So Close,So Close (feat. Georgia Ku),NOTD;Felix Jaehn;Captain Cuts;Georgia Ku,Universal Music AB
Somebody That I Used To Know,Making Mirrors,Gotye;Kimbra,Samples & Seconds / Republic
8TEEN,American Teen,Khalid,"Right Hand Music Group, LLC/RCA Records"
Another Sad Love Song,American Teen,Khalid,"Right Hand Music Group, LLC/RCA Records"
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: B-Sides,Amy Winehouse,Universal-Island Records Ltd.
Crash My Car,Crash My Car,COIN,The Committee for Sound & Mind
SLOW DANCING IN THE DARK,BALLADS 1,Joji,88rising Music/Warner Records
Glitter,Flower Boy,"Tyler, The Creator",Columbia
24 / 7 / 365,Surf,Surfaces,Surfaces Music
Ditch,Ditch,Gus Dapperton,Gus Dapperton
Sometimes,Sometimes,Goth Babe,Goth Babe
Ms. Jackson,Stankonia,Outkast,Arista/LaFace Records
Never Be Like You (feat. Kai),Skin,Flume;kai,Mom+Pop
High You Are,OWSLA Presents EGGNOG,What So Not;Branchez,OWSLA
Ghost Town,ye,Kanye West;PARTYNEXTDOOR,"Getting Out Our Dreams, Inc./Def Jam Recordings"
Frank's Track,The Life Of Pablo,Kanye West,Rock The World/IDJ/Kanye LP7
Fade,The Life Of Pablo,Kanye West,Rock The World/IDJ/Kanye LP7
Wish I Knew You,Men Amongst Mountains,The Revivalists,Concord Records
I'm Not Making out With You,Sad Boys,Surf Curse,Surf Curse
Only You (feat. Tame Impala),Only You (feat. Tame Impala),Theophilus London;Tame Impala,independently popular.
Sundress,Sundress,A$AP Rocky,A$AP Worldwide/Polo Grounds Music/RCA Records
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),F.A.M.E. (Expanded Edition),Chris Brown;Lil Wayne;Busta Rhymes,Jive
She Wants To Move,Fly Or Die,N.E.R.D,Virgin Records
BOY BYE,GINGER,BROCKHAMPTON,Question Everything/RCA Records
British Bombs,British Bombs,Declan McKenna,High Quality Popular Music
Death of the Phone Call,Huli Ka,"Whatever, Dad",Mt. Home Arts
Naked Kids,Hung At Heart,The Growlers,Everloving Records
Walking On A Dream,Walking On A Dream (10th Anniversary Edition),Empire Of The Sun,EMI Recorded Music Australia Pty Ltd
The Girl From Ipanema,Compact Jazz: Antonio Carlos Jobim,Antônio Carlos Jobim,Verve Reissues
Ordinary Pleasure,Outer Peace,Toro y Moi,Carpark Records
Better Not (with Wafia),Kids At Play- EP,Louis The Child;Wafia,Louis The Child / Interscope
didya think,Wait,Arlie,Atlantic Records
Turn It Up,Turn It Up,Penguin Prison,Act Normal Music
Bambi,Bambi,Hippo Campus,Grand Jury
Nellie,B-Room (Deluxe Edition),Dr. Dog,Anti/Epitaph
Rebel Rebel - 1999 Remaster,Diamond Dogs (30th Anniversary),David Bowie,Parlophone UK
Flashed Junk Mind,Sadnecessary,Milky Chance,Neon
Psycho Killer - 2005 Remaster,Talking Heads '77 (Deluxe Version),Talking Heads,Rhino/Warner Records
Peaches,The Belt,In The Valley Below,Capitol Records (CAP)
Die Young,Intoxication,Max Frost,Atlantic Records
Come a Little Closer,Melophobia,Cage The Elephant,RCA Records Label
Walk With Me (feat. KUČKA),Walk With Me (feat. KUČKA),Cosmo's Midnight;KUČKA,Nite High
Amour plastique,Amour plastique,Videoclub;Adèle Castillon;Mattyeux,Petit Lion Productions
From the Sun,II,Unknown Mortal Orchestra,Jagjaguwar
Creature Comfort,City Sun Eater in the River of Light,Woods,Woodsist
Nice Boys,Care,TEMPOREX,NBI
Thunder,Cat Heaven,Roy Blair,ROY / EMPIRE
Raspberry,Spreading Rumours,GROUPLOVE,Canvasback/ATL
My Little,Platinum Green,Ryan Leahan,Ryan Leahan
Make You Mine,Make You Mine,PUBLIC,Island Records
Gives You Hell,When The World Comes Down,The All-American Rejects,Interscope
No Scrubs,Fanmail,TLC,Arista/LaFace Records
Feels Like We Only Go Backwards,Lonerism,Tame Impala,Modular
Postcards Holiday,The Odyssey,Boys Age,Grabbing Clouds Records and Tapes
Kids,Kids,Current Joys,Current Joys
Like or Like Like,Tell It to the Volcano,Miniature Tigers,Yebo Music
Mr. Brightside,Hot Fuss,The Killers,Island Records
Scented Candles,Utdinfiniti,WDNG Crshrs,1317 Recordings
Mind,What Do You Think About the Car?,Declan McKenna,Columbia
Hey Ya!,Speakerboxxx/The Love Below,Outkast,Arista
Naive,Inside In / Inside Out,The Kooks,Virgin Records
Sundress,Sundress,Zoo Culture,Zoo Culture
LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar;Rihanna,Aftermath
Sex With Me,ANTI (Deluxe),Rihanna,Roc Nation / Rihanna
All My Friends (feat. Tinashe & Chance the Rapper),All My Friends (feat. Tinashe & Chance the Rapper),Snakehips;Tinashe;Chance the Rapper,Hoffman West/Columbia
Love On The Brain,ANTI (Deluxe),Rihanna,Roc Nation / Rihanna
Can't Stop,By the Way,Red Hot Chili Peppers,Warner Records
Crazy Rap (Colt 45 & 2 Zig Zags),The Good Times,Afroman,Universal Records
Needed Me,ANTI (Deluxe),Rihanna,Roc Nation / Rihanna
Televised,Windows I,HUNNY,Epitaph
Rape Me,In Utero (Deluxe Edition),Nirvana,Geffen
In Bloom,Nevermind (Remastered),Nirvana,Geffen
Lithium,Nevermind (Remastered),Nirvana,Geffen
The Man Who Sold The World - Live,MTV Unplugged In New York,Nirvana,DGC
About A Girl - Live,MTV Unplugged In New York,Nirvana,DGC
Friend of Nothing - Acoustic,Sleeping Til Sunset (Acoustic Versions),Together Pangea,Nettwerk Records
Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,Domino/Warner Records
DARE (feat. Shaun Ryder & Roses Gabor),Demon Days,Gorillaz;Shaun Ryder;Roses Gabor,Parlophone UK
Reptilia,Room On Fire,The Strokes,RCA Records Label
Paris Song,Sleepy,OH!hello,OH!hello
Perfume,Cat Heaven,Roy Blair,ROY / EMPIRE
Down the Line,Somersault,Beach Fossils,Bayonet Records
Looking Out for You,Looking Out for You,Joy Again,Never Grow Up Records
Rockaway,Driving to Hawaii,Summer Salt,586484 Records DK
Wolfcat,Wolfcat,Still Woozy,672794 Records DK
Beach Bummer,Amo XO,No Vacation,No Vacation
Streems,The Symposium,The Symposium,The Symposium
Lovers Rock,French Exit,TV Girl,TV Girl
Boyfriend (Bonus),Boyfriend (Bonus),Creator The Tyler,"Columbia Records, a Division of Sony Music Entertainment, as exclusive licensee"
Myth,Bloom,Beach House,Sub Pop Records
Hollow Life,Coast Modern,Coast Modern,300 Entertainment / +1 Records
Alive,Ice On The Dune,Empire Of The Sun,EMI Recorded Music Australia Pty Ltd
Pretty Girl Rock,No Boys Allowed (Deluxe),Keri Hilson;Kanye West,Mosley / Interscope
Mansard Roof,Vampire Weekend,Vampire Weekend,XL Recordings
Thank Me Later,Dream Girl,Anna of the North,300 Entertainment
better friends,we just need some time together,BETWEEN FRIENDS,Artbeatz
Weekend,Something Good,Dunies,Dune Tune Records
Hot Rod,Fuzzybrain,Dayglow,Dayglow
Say So,Hot Pink,Doja Cat,Kemosabe Records/RCA Records
Send Me on My Way,Music From Party of Five,Rusted Root,Warner Records
Oogum Boogum Song,Oogum Boogum,Brenton Wood,The Bicycle Music Company
Tia Tamera (feat. Rico Nasty),Amala (Deluxe Version),Doja Cat;Rico Nasty,Kemosabe Records/RCA Records
Heart and My Car,Happy Camper,Summer Salt,Summer Salt
She's Gonna Leave You,She's Gonna Leave You,The Walters,The Walters
Fuzzybrain,Fuzzybrain,Dayglow,Dayglow
Plants,Locket,Crumb,Crumb Records
Song for Me,Song for Me,Greer,Epitaph
Fair Game,Fuzzybrain,Dayglow,Dayglow
False Direction,Fuzzybrain,Dayglow,Dayglow
Be Alright,Dangerous Woman,Ariana Grande,Universal Records
Make Me Feel,Dirty Computer,Janelle Monáe,Bad Boy Records
Don't Worry Be Happy,Simple Pleasures,Bobby McFerrin,Parlophone Catalogue
Telescope,Melophobia,Cage The Elephant,RCA Records Label
White Ferrari,Blonde,Frank Ocean,Boys Don't Cry
Purity (feat. Frank Ocean),TESTING,A$AP Rocky;Frank Ocean,A$AP Worldwide/Polo Grounds Music/RCA Records
Kiss You Underwater,Play the Game,Whitewoods ,Whitewoods
Harvey,Invitation to Her's,Her's,Heist Or Hit Records
"Sunflower, Vol. 6",Fine Line,Harry Styles,Columbia
10%,10%,KAYTRANADA;Kali Uchis,KAYTRANADA/RCA Records
DHL,DHL,Frank Ocean,Blonded
Where This Flower Blooms (feat. Frank Ocean),Flower Boy,"Tyler, The Creator;Frank Ocean",Columbia
"Analog 2 (feat. Tyler, The Creator, Frank Ocean & Sydney Bennett)",The OF Tape Vol. 2,"Odd Future;Tyler, The Creator;Frank Ocean;Syd",Odd Future
Don't Go Wasting Time,Don't Go Wasting Time,Alfie Templeman,Chess Club
Pink + White,Blonde,Frank Ocean,Boys Don't Cry
Thinkin Bout You,channel ORANGE,Frank Ocean,Red Zone Entertainment / IDJ
Nights,Blonde,Frank Ocean,Boys Don't Cry
